	_id	about	about_en	category	checked	description	description_en	engagement	error	id	likes	location	name	name_en	phone	phone_en	relevant	retrieved	start_info	start_info_clean	talking_about_count	website	website_en
997	{u'$oid': u'56148c9bc5fd9419732fbff5'}		((Do not despair of God's mercy, that He will forgive all sins)) ....... Holy Quran	Community	[1448985388]			4293		2.03918686441e+14	4293.0		خدای مهربان	kind god				1444185758.3			40.0	<<not-applicable>>	
170	{u'$oid': u'5601dbe7c5fd9455673e0a11'}		"Commercial offers from Europe and import and export trade and inter Astockat, buying and selling
www.stifani.ro www.tinyhuman.ro"	Business Services	[1447546448]		"The Distinguished brothers
Interested in import and export, wholesale and Alastockat areas of Europe
You can visit our sites and communicate with us in Arabic, and thank you
You can contact us at the address in the following pages:

Or www.facebook.com/Supplier.Stocklots.Germany.Europe/info
Or www.linkedin.com/groups?gid=4810388"	3871		1.486093753e+14	3871.0	{u'latitude': 51.120161, u'city': u'Bucharest', u'longitude': 12.4938, u'country': u'Romania'}	trading and business offers import export stock lots from europe					1442962197.87			40.0	http://stocklots-liquidations-bankruptcy.blogspot.com, http://www.facebook.com/Supplier.Stocklots.Germany.Europe	http://stocklots-liquidations-bankruptcy.blogspot.com, http://www.facebook.com/Supplier.Stocklots.Germany.Europe
161	{u'$oid': u'5601c57cc5fd9455673df119'}		Details of life in Germany and some European countries, as seen and experienced by immigrants successful	Travel/Leisure	[1447512972]		"It established the ""Life in the Federal Republic of Germany and of Europe,"" and with this page to several objectives, including what is a tourist for fans to identify the countries and see the pictures, as well as providing wishing to emigrate or travel some information as seen already living in Europe. But more importantly, I have, and which may be observed from the casual style, is to convey to you what we feel jealous of our country should not be like that or better. I believe that access to other successful experiences a necessity for progress. We have to know in order to Nhgmeh size are late, and that we look to the success of Nations in East and West with a mixture of respect and joy and faith that in our power to do the same."	3481		1.58744294196e+14	3481.0		الحياة في المانيا و أوروبا	life in germany and europe				1442956423.21			40.0		
547	{u'$oid': u'56039fffc5fd9455674021b9'}		We almost revive ...	Community	[1445071356]			33357		4.09356389182e+14	33357.0		لم يبقى حل الا الهجرة الى اوروبا	solution  but it did not survive migration to europe				1443077524.27			37.0	http://www.facebook.com/timos12	http://www.facebook.com/timos12
982	{u'$oid': u'56147114c5fd9419732fb258'}		Quranic verses and images	Community	[1448984968]			3695		3.10272869157e+14	3695.0		خدای مهربون میگه	god says that kind				1444179886.67			37.0	http://bidari-andishe.ir	http://bidari-andishe.ir
796	{u'$oid': u'5606742ac5fd94556740fc19'}		This world news page and decisions Bhan Refugees in Europe .....	Community	[1445879326]			102		4.16361778556e+14	102.0	{u'city': u'Värnamo', u'zip': u'33183', u'country': u'Sweden'}	قرارة بشؤن الاجئين في اوروبا	bhan deep refugees in europe				1443263459.87			35.0		
802	{u'$oid': u'56068248c5fd94556740fe2a'}			Community	[1445881103]			78		1.46089524752e+15	78.0		ﺍﻟﻂﺮﻳﻖ ﺍﻟﻰ ﺍﻭﺭﻭﺑﺎ	way to europe				1443267081.93			34.0		
81	{u'$oid': u'55fc7659c5fd9455673cde99'}			Local Business	[1444719412, 1449459131, 1449882340]			1126		1.45338078878e+14	1126.0	{u'latitude': 35.33588, u'city': u'Dayr az Zawr', u'street': u'جبل قاسيون', u'longitude': 40.14084, u'country': u'Syria'}	سوريا	syria	0544174381			1442608724.25			30.0	<<not-applicable>>	
181	{u'$oid': u'5601ec32c5fd9455673e1853'}		To inquire or to communicate with addicted page https://www.facebook.com/sona.2019	Community	[1444829842]			832		1.52295421623e+14	832.0		الهجره الي اوروبا   migration to europe	migration to europe   migration to europe				1442966380.78			29.0		
877	{u'$oid': u'56129e27c5fd9419732f782d'}		We pledge allegiance to ourselves not to keep silent about falsehood and Nkhvkm O human traffickers	Community Organization	[1445906220]			177		1.6249750011e+15	177.0	{u'latitude': 35.95, u'city': u'Al-Rakka', u'street': u'الثكنة', u'longitude': 39.0167, u'country': u'Syria'}	لن نبقى لاجئين اا لكشف تجار البشر في مأآسي اللجوء اا	we will not remain refugees aa to detect human traffickers in maxi asylum aa				1444060647.16			27.0		
823	{u'$oid': u'560f5badc5fd945416896b2b'}		"The group aims to bring together the Algerians of Europe via the net, via events and through publications.
Building a Beautiful Algeria"	Community	[1445892035]			30		4.16820918515e+14	30.0	{u'city': u'Anderlecht', u'zip': u'1070', u'country': u'Belgium'}	algerians of europe / جزائري أوروبا	algerians of europe / algerian europe				1443847016.86			27.0		
703	{u'$oid': u'5605341fc5fd94556740ad15'}		للتواصل معنا >>>>>>>a.4travel@hotmail.com	Community	[1445298882]		Ensure access to Europe via the Arab Republic of Egypt and achieve the dream of a young Arab	3404		3.94001684044e+14	3404.0		الوصول الى اوروبا	to reach europe				1443181475.62			26.0		
248	{u'$oid': u'560244afc5fd9455673e8317'}		"Official page of the Conference of Palestinians in Europe
Palestinians In Europe Conference"	Community	[1444939580]		"a open invitation
General Secretariat of the Palestinians in Europe Conference is pleased, and the Palestinian Return Centre in London, inviting the Palestinian people about it and interested to participate in the activities of Palestinian Conference Europe



for more information:

General Secretariat of the Palestinians in Europe Conference www.alawda.eu
Email: Palestine1.info@gmail.com Tel: 0043 69913811754

Palestinian Return Centre www.prc.org.uk
email: info@prc.org.uk
Tel: 0044 (0) 20 84530919 Fax: 0044 (0) 20 84530994"	3195		1.66328110149e+14	3195.0		مؤتمرات فلسطينيي أوروبا	palestinians in europe conference				1442988702.11			26.0	http://www.alawda.eu  	http://www.alawda.eu
626	{u'$oid': u'5603ecc9c5fd9455674067c0'}			Community	[1444872761]			66		1.56019978072e+14	66.0	{u'city': u'Wahran', u'country': u'Algeria'}	الهجرة الى اوروبا	migration to europe				1443097733.48			26.0	http://www.facebook.com/pages/الهجرة-الى-اوروبا	http://www.facebook.com/pages/ immigration-to-Europe
194	{u'$oid': u'5601fc71c5fd9455673e2e80'}			Community	[1444834346]			1344		2.84604548351e+14	1344.0		لماذا تخلفت أوروبا	why has lagged behind europe				1442970352.48			24.0		
77	{u'$oid': u'55fc2f40c5fd9455673ccba9'}			Local Business	[1444719193, 1449458918, 1449882127]			5489		3.9050448114e+14	5489.0	{u'latitude': 33.4661267, u'city': u'Rif Dimashq', u'longitude': 36.3125277}	سوريا	syria				1442590527.33			21.0		
221	{u'$oid': u'5602237ac5fd9455673e6047'}		"Views and proposals for effective community in order to desert the national cause
Communities desert, desert the nucleus of the future for generations carrying case"	Community	[1447590346]			621		1.56895555333e+15	621.0	{u'city': u'Madrid', u'country': u'Spain'}	الجاليات الصحراوية في اوروبا comunidad saharaui en europa	desert communities in europe comunidad saharaui en europa				1442980128.37			21.0	https://www.facebook.com/pages/%D8%A7%D9%84%D8%AC%D8%A7%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%B5%D8%AD%D8%B1%D8%A7%D9%	
78	{u'$oid': u'55fc2f42c5fd9455673ccbaa'}			Local Business	[1444719264, 1449458989, 1449882198]			8047		2.64566996916e+14	8047.0	{u'city': u'Damascus', u'zip': u'8', u'country': u'Syria', u'longitude': 37.36485, u'street': u'بيروت', u'latitude': 35.93224}	سوريا	syria	<<not-applicable>>			1442590529.02			20.0	<<not-applicable>>	
899	{u'$oid': u'5612d914c5fd9419732f8698'}		"Corner:
City Corner 80 km away from the southern capital Juba.
 Shelter corner:
Shelter to serve children spiritually and academically and Mharria established in November 2013"	Community	[1444877525]			1065		9.74566675938e+14	1065.0		rocon orphanage   ملجأ رُكن	rocon orphanage   shelter corner				1444075656.32			18.0		
178	{u'$oid': u'5601e7d7c5fd9455673e1536'}		No to racism and sectarianism and to the doctrinal	Community	[1447547890]		"No to the sectarian sectarian ..la ..la of racism!

Not Tparty..la for Ajtthat..la to cancel!
Not Tmiaz..la for Adthad..la of terrorism!
Not Krahih..la Hakd..la for sedition!
A call for dialogue by the doctrines of interfaith dialogue!
An invitation to frank dialogue not padded!
Call for dialogue with the near by dialogue with the odd!
Call humanitarian deal!
Call for respect for human!"	1139		2.05900179556e+14	1139.0		عرب أوروبا   arabs europe	arabs arabs europe europe				1442964880.09			17.0	<<not-applicable>>	
1110	{u'$oid': u'56153f59c5fd941973301ac8'}			Community	[1446041697]			213		4.55397211208e+14	213.0		بنیاد خیریه دستهای مهربان	foundation hands kind				1444232886.42			16.0		
233	{u'$oid': u'56023353c5fd9455673e7035'}		Legal migration to Europe	Travel/Leisure	[1444928987]		"Want to travel to Europe Hraeih.tabt way of failed attempts
Hansaadk Tsafrlooroba by country available to us and we have available all kinds of invitations to tourism, employment and trade, which enhances your attitude when submitting Awarqk for Safarhwalhsol residence"	10537		1.47738116584e+15	10537.0	{u'latitude': 30.0502, u'city': u'Giza', u'street': u'10 Hussien wasef st, Al Mesaha, Square Doqi,Giza, Egypt', u'longitude': 31.2444, u'country': u'Egypt'}	الهجره الشرعيه الى اوروبا	legal migration to europe	01020965684			1442984357.35			15.0	http://europeanresidence.jimdo.com/	http://europeanresidence.jimdo.com/
849	{u'$oid': u'56128b6cc5fd9419732f7062'}		Bnga about matters of immigration to Sweden	Community	[1445900836]			7913		1.60559914091e+14	7913.0		resorting to sweden					1444055708.48			15.0	https://www.facebook.com/اللجوء ألى السويد	https://www.facebook.com/ resort to Sweden
53	{u'$oid': u'55fb59e5c5fd9455673c3a2f'}		Page de Elly each Ataknq of dignified living and Elly Aaychenha decided operates health	Community	[1444658880, 1449017845, 1449215584, 1449544019, 1449785066, 1450132960]			230		3.2282654446e+14	230.0		مهاجرون	immigrants				1442535835.65			15.0		
709	{u'$oid': u'5605463bc5fd94556740b12e'}		Union site communities and Palestinian institutions and events in Europe	Community	[1445300633]		"Union site communities and Palestinian institutions and events in Europe
 A national site Palestinians is not a substitute for one, but rather is a tributary of the movement of communities and the movement of the right of return, and complements the work sites that operate in this area .oahdv to constant communication with the Palestinian national cause holy identity, history and heritage, through cohesion among the Palestinian people , national strength at home and abroad, the site aims to build bridges of communication between the sons of the Palestinian communities in the Diaspora and immigrant .dama Alparwah.any national rights remain the capital of Palestine tall in the hearts of our people. We also aims to: * clinging to the Palestinian national rights * contribute to building Palestinian institutions and communities in the Diaspora and Diaspora * Support the movement of refugees the right to return to their homes * expose Israel's aggressive settlement policy toward people Filstinia * open and talk dialogue on the role of the new Palestinian generations * Almsahmhvi line work with the forces of bi Seah Alajtmaiho and liberal parties in support of the alternative globalization movement Hakouknaw to form a global public opinion supportive of our rights * The site aims to create an interaction between immigrant and diaspora and the homeland. Field open for writing and contributing to the success of this project. Even constitute the Palestinian diaspora real depth to the strategy of national liberation and independence, and the mechanism of defensive identity and resist attempts to confiscate Palestinian people's right of return and self Almasir.kma This site aims to network relationships building have an impact and effective and have a role in building a strong Palestinian communities, organizations and influential in places presence."	1925		1.06705092752e+14	1925.0		اتحاد الجاليات والمؤسسات والفعاليات الفلسطينية في اوروبا	union communities and institutions of the palestinian and events in europe				1443185786.11			14.0	www.paleurop.org	www.paleurop.org
156	{u'$oid': u'5601ba04c5fd9455673de87f'}			Community	[1444821201]			542		4.81821955184e+14	542.0		سياحه و رحلات الى اوروبا	tours and trips to europe				1442953647.53			14.0	http://www.travelegypt.ws	http://www.travelegypt.ws
861	{u'$oid': u'56129335c5fd9419732f73d3'}		Consulting and legal services to refugees and immigrants Office in all countries of the world	Community	[1445902988]			1547		6.42707902419e+14	1547.0		مكتب الاستشارات الدولي لشؤون اللجوء والهجرة	international consulting for asylum and immigration office				1444057779.91			13.0	http://www.mohager.com	http://www.mohager.com
285	{u'$oid': u'56026bb5c5fd9455673eb2bb'}		All that is exclusively a *************************** hello to you in our page	Community	[1444959050]			252		4.14917045292e+14	252.0		عربي في أوروبا	arabic in europe				1442999025.43			12.0	https://www.facebook.com/MassoudFahes	
824	{u'$oid': u'560f5dbdc5fd945416896b32'}		"The group aims to meet Moroccan Europe via the net, via events and through publications.
Building a Beautiful Morocco"	Community	[1445892114]			12		3.95881630609e+14	12.0	{u'city': u'Anderlecht', u'zip': u'1070', u'country': u'Belgium'}	moroccans of europe / مغاربة أوروبا	moroccans of europe / moroccans europe				1443847544.01			12.0		
333	{u'$oid': u'5602aa21c5fd9455673f0199'}			Cause	[1445000460]		"This page is managed by Media Brigade in the Syrian army-mail.

God protect Syria and the commander of Syria ... God protect Syria and Syria's youth .."	11059		1.50977731637e+14	11059.0	{u'street': u'اوروبا كلها'}	قائمة الفخرالسورية في اوروبا	list alfajralsorah in europe				1443014579.89			11.0		
1067	{u'$oid': u'56150385c5fd9419732ffcc2'}		♥♥♥ dedicated to someone who is not on my side but his sense of passion for life gives me ♥♥♥	Community	[1445963532]		"It drives me crazy
I'm not
I'm just a special kind
Others can not
I love you"	1261		5.59527107406e+14	1261.0	{u'city': u'Tehran Pars', u'street': u'Iran', u'country': u'Iran'}	دیوونه ی مهربون	the kind crazy				1444216797.28			11.0	http://divooneyemehraboon1.blogfa.com/	http://divooneyemehraboon1.blogfa.com/
888	{u'$oid': u'5612a8b6c5fd9419732f7e44'}			Local Business	[1445912578]			98		4.73147779529e+14	98.0	{u'latitude': 36.1935639, u'longitude': 37.1589261}	اللجوءوالهجرة ومساعدة المهاجرين من الى  اوروبا	alljuualahjrh and help immigrants to europe				1444063343.67			11.0		
134	{u'$oid': u'560179b3c5fd9455673d83e1'}			Community	[1444397880, 1448996910, 1449180699, 1449503581, 1449608677, 1450107447, 1450200158]			29		7.76373632472e+14	29.0		أوروبا	europe				1442937116.37			11.0		
218	{u'$oid': u'56021f67c5fd9455673e5c67'}		"Royal Travel Company .hrkh specialized tourism in organizing fishing trips in eastern Europe (Bosnia).
www.rts-global.net"	Travel/Leisure	[1447588348]		"Our mission is to offer our customers the best possible fishing experience of what they want discovered in Eastern Europe

Our vision is to become the first choice for travelers in individual and group travel trips with high quality service, as well as for travel agents, tour operators and events allow.

We have a large network of partners in all parts of Eastern Europe, which gives us the flexibility and the ability to arrange all the wishes of all customers. We prefer the preparation of programs specifically designed for our customers to try to accommodate all their needs at the best price while maintaining our high level of professionalism and well-being."	4535		6.0521826288e+14	4535.0	{u'latitude': 43.86075, u'city': u'Sarajevo', u'street': u'Fojnicka 9', u'longitude': 18.42136, u'country': u'Bosnia and Herzegovina'}	رحلات الصيد في شرق اوروبا	fishing trips in eastern europe	<<not-applicable>>			1442979214.94			10.0	http://www.rts-global.net	
768	{u'$oid': u'560621ebc5fd94556740e9b7'}			Community	[1445327482]			4166		8.14058725308e+14	4166.0		عَُشَّـــاَقْ شَقْرَاَوًّاَتْ أوًّرَوًّبَاَ	lovers blondes europe				1443241762.57			10.0	<<not-applicable>>	
1063	{u'$oid': u'5614feb0c5fd9419732ffaf8'}			Community	[1445962016]			3542		1.29653893764e+14	3542.0		با حیوانات مهربان باشیم	be kind to animals				1444216287.57			10.0	"سعی و تلاش ما بر حمایت و حفاظت از حیوانات است
و همچنین بالا بردن سطح فرهنگ "	"Our efforts to protect animals
And also to raise the level of culture"
93	{u'$oid': u'55fc8b43c5fd9455673ced9f'}		No	Community	[1444745327]			886		5.45083305503e+14	886.0		سوريات	soeriat				1442614037.6			10.0		
91	{u'$oid': u'55fc8a53c5fd9455673cec65'}		Soeriat of Syrian women only	Community	[1444744415]			1119		7.92201074164e+14	1119.0		سوريات	soeriat				1442613715.6			9.0		
697	{u'$oid': u'56051af4c5fd94556740aaf6'}		"Business in Europe - Business in Europe
We will help you win!"	Community	[1445298067]			13527		1.47629265602e+15	13527.0		الأعمال في أوروبا business in europe	business in europe business in europe				1443175009.78			8.0		
112	{u'$oid': u'55fca3f4c5fd9455673d4d35'}		Syrian human re-qualification to accept others and thinking realistically moderate Syrian homeland under roof	Community	[1447409426]		"Syrian human re-qualification to accept others and thinking realistically moderate Syrian homeland under roof
Rehabilitating the Syrian individual to accept others realistically and with moderation under the roof of a united Syrian nation."	6447		1.39123742904e+14	6447.0		سوريا	syria				1442620238.88			8.0		
558	{u'$oid': u'5603ac60c5fd945567402da0'}		♥ ♥ ▓▒WELCOME▒▓ ♥ ♥ ♫ ► PAGE Herbh to Europe ►◄ ★ [Objectif ► 10.000 Fans] Originale & Official Page ★	Local Business	[1445076898]		Welcome to our page the ADMIN of the page you want a good visit and to share with us your jokes and your idea and observe the user rights thank you for your understanding and please share our pge რ with your friends on facebook. <3	4369		6.38822209509e+14	4369.0	{u'city': u'Brooklyn', u'zip': u'35062', u'country': u'United States', u'longitude': -74.039905, u'state': u'NY', u'street': u'86th Street', u'latitude': 40.625564}	الهربة إلى أوروبا	herbh to europe	+213556343326			1443081199.68			8.0	http://Al-Harba-Ila-Europe.com	http://Al-Harba-Ila-Europe.com
625	{u'$oid': u'5603ec76c5fd9455674067b9'}		The Messenger of Allah peace be upon him {Woe to the Arabs from the evil had approached succeeded from the palm of his hand}	Community	[1444872676]			535		1.52177091589e+14	535.0		محبي الشيخ صلاح الدين بن ابراهيم في اوروبا	lovers of sheikh salah al din ibrahim bin in europe				1443097585.43			8.0		
948	{u'$oid': u'561445fec5fd9419732f9f46'}			Work Position	[1448746394]			12		1.06770132326e+15	12.0		مهرب بحر من أزمير إلى اليونان جزيرة  كيوس.سامس	sea smuggler from izmir to greece island  kios.sams				1444169153.62			8.0		
449	{u'$oid': u'56033e0dc5fd9455673fbf37'}		Where are you, the owners of the challenge	Community	[1448692097]			3548		1.56768227827e+14	3548.0		التهريب الى اوروبا  europe	smuggling to europe europe				1443052923.01			7.0		
1093	{u'$oid': u'56151f46c5fd941973300949'}		"I know how I look in need of prayer
Thy mother"	Community	[1445979608]		"Not remember how I sleep at night until morning, I would kiss on the forehead fever

And the days that seal motherly love thy morsel in my mouth, put

And I was rejected Ljbaztr than ever your hand!

When I kiss my wrinkled hands,

Reminded of my childhood that always sell for soft hands all the glory

And I had to dry your hands with the arms of my mother is proud that all his life to put my feet;

I caress the hands grew and today I say with all my heart:

My mother and I owe all Mhrbanyhayt a little less than you love me, I love you."	2981		6.61599067204e+14	2981.0		مادر مهربانم	merciful mother				1444224512.89			7.0		
508	{u'$oid': u'56037773c5fd9455673ff6cc'}			Community	[1445051701]			227		2.15371975283e+14	227.0		ليفربول كبير كبار اوروبا	liverpool great senior europe				1443067560.32			7.0		
669	{u'$oid': u'56048559c5fd945567409481'}		•► Objectif : 1O.OOO ◄•	Community	[1444402923, 1449004716, 1449196860, 1449521752, 1449622578, 1450112655]			5331		1.45597800798e+15	5331.0		أوروبا êùröpà	europe  êùröpà				1443136706.16			6.0	https://www.facebook.com/profile.php?id=100004627338461&ref=tn_tnmn	
271	{u'$oid': u'56025f58c5fd9455673ea57a'}		Immigration and Travel Phys - smuggled into Greece, Italy, Sweden and Germany and all European countries	Community	[1444954047]			3347		3.58141747682e+14	3347.0		السفر الى اليونان وايطاليا ودول أوروبا	travel to greece  italy and the countries of europe				1442995905.6			6.0	https://www.facebook/Travel to Europe.com	
125	{u'$oid': u'56008e12c5fd9455673d7ae6'}		pap eur	Community	[1444400215, 1449000701, 1449185964, 1449509869, 1449614682, 1450110209]			3134		6.33728150087e+14	3134.0		أوروبا	europe				1442876808.75			6.0		
528	{u'$oid': u'56038bbcc5fd945567400773'}		Encyclopedia global readers know the creative and celebrity Arabs in Europe	Community	[1445060610]			695		1.40891686934e+15	695.0		موسوعة المشاهير العرب في أوروبا	celebrity encyclopedia arabs in europe				1443072819.88			6.0		
292	{u'$oid': u'5602718fc5fd9455673eb9e0'}		Zein Europeanisation not proved your presence Btalna ======== ==== Bjam	Community	[1444961362]			640		5.65561630181e+14	640.0		زين اوروبا وبابيشها	zain europe and babischha				1443000370.59			6.0		
88	{u'$oid': u'55fc8050c5fd9455673ce920'}		Syria Post - already - depth - credibility	Media/News/Publishing	[1444730806]			462		1.11293725205e+15	462.0		سوريا بوست   syria post	post syria   syria post				1442611275.69			6.0		
718	{u'$oid': u'5605767cc5fd94556740b904'}		"States European flights (including hotel and Aviation)
Tours of the island with tourist services
01127244644 ​​\ 01202989923"	Travel/Leisure	[1445303811]			264		8.43814762304e+14	264.0		رحلات أوروبا	europe flights				1443197982.18			6.0	https://twitter.com/tours2000m	
1044	{u'$oid': u'5614d184c5fd9419732fe3eb'}		Merciful God, my parents are always with them. Be gentle.	Community	[1445939146]			234		1.40053660685e+15	234.0		پدر مادر مهربان	parents kind				1444204799.24			6.0		
1142	{u'$oid': u'56155500c5fd941973301f07'}			Local Business	[1446047239]			42		1.52025138154e+15	42.0	{u'latitude': 35.7130592199, u'city': u'Tehran', u'longitude': 51.4085875437, u'country': u'Iran'}	مطار مهرباد طهران	tehran mehrabad airport				1444238532.41			6.0		
889	{u'$oid': u'5612a8fdc5fd9419732f7e45'}			Local Business	[1445912650]			41		4.55864621262e+14	41.0	{u'latitude': 36.2023086, u'city': u'Aleppo', u'longitude': 37.1301634, u'country': u'Syria'}	اللجوءوالهجرة الى اوروبا	alljuualahjrh to europe				1444063425.01			6.0		
835	{u'$oid': u'560ff6e1c5fd945416896d45'}		Page for bg and athletes and fans of the sport and beauty	Community	[1445893043]			25		1.00621308278e+15	25.0		صنع في اوروبا	made in europe				1443886742.38			6.0	http://Www.facebook/fitnes.com	
224	{u'$oid': u'56022712c5fd9455673e6366'}		Page created to critique each stinging sarcasm excesses Egyptians ..	Community	[1447591841]		"Page created to critique each stinging sarcasm excesses Egyptians

Whether they are government or nation or individuals or groups

B an attempt to raise awareness to improve Bmsrna

With an emphasis on Mraatna full commitment to dialogue politely.

We ourselves and our goal sophistication Bootanna

And we will never be a page to spread sedition and transmit the spirit of the band between the Egyptians

Or have the intellectual decadence and lack of respect for others is our means to express :)

We do not belong to a stream or a particular political ideology of the page does not aim to offend or defame anyone even though we were different with him

We adhere to our goal which is the main criticism of society and try to correct behaviors and place it on the right track

Workers, saying the Almighty:

""God does not change the condition of a people until they change what is in themselves"" Thunder verse 11

We do not only aim to increase the number of page so there will be rules for participation:

- No insulting and hurting anyone present on the page, ""even if the group of wedge Yaris"": D

- No promotion or advertising of any political figure and engage in political debate and dispute over candidates, whoever they are.

- Is strictly prohibited putting pictures in breach of literature and put it immediately and will be permanently banned without warning.

- No abuse of religions or people of different religions or nationalities of us.

- Allowed rational dialogue certainly hard esteemed in regard to things back home.

- Finally, all members are allowed to write on the Wall and to freely express his opinion as long as it was committed to dialogue politely."	3717		2.03972333032e+14	3717.0		فى أوروبا والدول المتقدمة	in europe and developed countries				1442981450.1			5.0		
267	{u'$oid': u'560258bec5fd9455673e9cf3'}			Consulting/Business Services	[1444950460]			3569		5.36498636364e+14	3569.0	{u'city': u'khalda', u'street': u'amman - jordan', u'zip': u'.'}	سيارات من اوروبا وامريكا car from uero& usa	cars from europe and america   car from uero & usa	00962795086100 / 00436649157574			1442994236.21			5.0		
878	{u'$oid': u'56129f66c5fd9419732f7925'}		Maaa to travel Aaamn ....	Consulting/Business Services	[1445906821]			3314		1.6055648697e+15	3314.0	{u'latitude': 41.0436, u'city': u'Bagcılar', u'street': u'استنبول', u'longitude': 28.8183, u'country': u'Turkey'}	للمغتربين اللجوء الى المانيا	expatriate asylum in germany	0000000001			1444060727.16			5.0		
322	{u'$oid': u'56029a0fc5fd9455673ef434'}		"Dream High immigration to Europe Ŧø Ěŭřøp
https://www.facebook.com"	Community	[1444994251]		Europe lovers ... I will not say 'we are the best' but we Nhterv 'creativity	3173		3.15279805238e+14	3173.0		حلم الشباب الهجرة إلى أوروبا ŧø ěŭřøpĕ	dream high immigration to europe ŧø ěŭřøpĕ				1443010786.85			5.0	الموقع الإلكتروني	Web site
529	{u'$oid': u'56038d65c5fd945567400919'}		الزين الاورونجي ...  Abdou PsG ♥♥Msb <3	Community	[1445061380]			3067		1.61847100669e+14	3067.0		في شوارع اوروبا	in the streets of europe				1443072966.93			5.0		
690	{u'$oid': u'56050354c5fd94556740a21e'}		Europe for the first my mistress	Community	[1445294047]			2930		8.21669924514e+14	2930.0		اوَروَباًَْ عَـشًًًًٌََََُُُُْْيقُتُيُ الاَْْوُلَىَ	europe for the first my mistress				1443169046.36			5.0	http://www.facebook.com	
1051	{u'$oid': u'5614e1dcc5fd9419732fec00'}		Officially licensed by 516/1/1382 number and registration number 21674	Community	[1445947363]		Official license registration number of your merciful hands Baakhz Bnyadkhyryh 21674 was established in 1386 focusing its activities support for women and orphans raised by inadequate commenced	2543		6.58040904239e+14	2543.0		بنیاد خیریه دستهای مهربان	foundation hands kind				1444207814.68			5.0	http://www.dmngo.ir	
74	{u'$oid': u'55fb6521c5fd9455673c83ac'}		Above is a surreal world inside a world that is sometimes even surreal sleep Think you've seen the photos and paintings.	Community	[1444719118, 1449458847, 1449882055]			2198		1.1276244885e+14	2198.0		سورئال	surreal				1442538612.77			5.0		
1045	{u'$oid': u'5614d1cec5fd9419732fe3f2'}		Andimesh goalkeeper Karkhe and dose of a thousand martyr	Company	[1445939223]			131		1.4791813357e+15	131.0	{u'latitude': 32.4395508, u'located_in': u'372717539560168', u'longitude': 48.3587131}	اندیمشک شهر مهربانی	andimesh of kindness			0.0	1444204942.92			5.0	http://andimeshkjavan.ir	
375	{u'$oid': u'5602e318c5fd9455673f2d06'}		Enjoooooooooooooooooy	Community	[1444847099]			127		1.59927170864e+14	127.0		بابيش اوروبا	babic europe				1443029693.61			5.0	https://twitter.com/joujou231	
416	{u'$oid': u'56031997c5fd9455673fa2d4'}			Travel/Leisure	[1448682322]			81		3.85808518283e+14	81.0		الدراسه و الهجره الي أوروبا migration in europe	study and migration to europe migration in europe				1443043670.03			5.0		
61	{u'$oid': u'55fb5bf6c5fd9455673c3b2e'}		Not for the return of corruption of love for the homeland	Community	[1447169858]		"This page is open to all Moroccan immigrants around the world who like to add their voice to others to secure and continue the path of democracy, human rights and freedom, started with King Mohamed VI and close the door against the opportunists who want to take the country back to dark ages of corruptions and control. Admins of this page don’t belong to any POLOITICAL party on Morocco. We are here to support what we think is Good and right for country. Different opinions are accepted and encouraged with respect of our country’s values (Monarchy – Islam- Malikiya Doctrine) and respect of others. Profanity will not be tolerated.
هذه الصفحة مفتوحة لجميع  المهاجرين المغاربة في جميع أنحاء العالم الذين يرغبون في إضافة صوتهم لصوتالاخرين من ابناء الوطن  لتأمين و مواصلة طريق الديمقراطية وحقوق الإنسان و الحرية ،التي  بدأت مع الملك محمد السادس حفضه الله وإغلاق الباب في وجه الانتهازيين الذين يريدون أن يرجعوا البلد إلى العصور المظلمة من الفساد والرقابة والتحكم. مدراء هذه الصفحة لا ينتمون إلى أي حزب سياسي اوجمعية سياسيه في المغرب . اراؤهم شخصية ونابعة من اعتقاداتهم الشخصية.نحن هنا لدعم ما نعتقد أنه جيد و صواب للدفع بعجلة التقدم في وطننا الحبيب. اختلالف الآراء امقبول وتنشجعه مادامتتحترم القيم التي قامت عليها امتنا(الاسلام- الملكية- المذهب المذالكي ) و احترام اراء الاخرين الآخرين . لن يتم التسامح مع الألفاظ النابية"	42		1.49548286074e+15	42.0		مهاجرون مغاربة ضد عودة الفساد	moroccan immigrants return against corruption				1442536364.61			5.0		
887	{u'$oid': u'5612a864c5fd9419732f7e43'}			Local Business	[1445912508]			36		6.64015423732e+14	36.0	{u'latitude': 36.2016702, u'city': u'Aleppo', u'longitude': 37.1293424, u'country': u'Syria'}	اللجوءوالهجرة الى اوروبا	alljuualahjrh to europe				1444063272.01			5.0		
945	{u'$oid': u'561444abc5fd9419732f9f02'}			Company				5		4.60707650767e+14	5.0	{u'city': u'Istanbul', u'country': u'Turkey'}	مهرب تركيا	turkey smuggler			0.0	1444168813.13			5.0		
885	{u'$oid': u'5612a7d0c5fd9419732f7e3a'}			Travel/Leisure	[1445912357]			4276		7.23907331034e+14	4276.0	{u'city': u'Boston', u'country': u'United States', u'longitude': -71.0617, u'state': u'MA', u'street': u'Boston', u'latitude': 42.3578}	اللجوء الى أمريكا	resorting to america	07811616166			1444063089.94			4.0		
